"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"1","TOR","C","Precious Achiuwa",73,9.1,6.5,1.1,0.5,0.6,4.7,0.7,1.2
"2","MEM","C","Steven Adams",76,6.9,10,3.4,0.9,0.8,2.3,1.2,1.5
"3","MIA","C","Bam Adebayo",56,19.1,10.1,3.4,1.4,0.8,5.7,1.5,2.6
"4","MEM","PF","Santi Aldama",32,4.1,2.7,0.7,0.2,0.3,2.4,0.4,0.5
"5","BRK","C","LaMarcus Aldridge",47,12.9,5.5,0.9,0.3,1,4.3,0.3,0.9
"6","TOT","SG","Nickeil Alexander-Walker",65,10.6,2.9,2.4,0.7,0.4,6.6,0.5,1.4
"7","NOP","SG","Nickeil Alexander-Walker",50,12.8,3.3,2.8,0.8,0.4,7.9,0.5,1.7
"8","UTA","SG","Nickeil Alexander-Walker",15,3.5,1.5,1.1,0.3,0.3,2.1,0.1,0.5
"9","MIL","SG","Grayson Allen",66,11.1,3.4,1.5,0.7,0.3,4.7,0.1,0.7
"10","CLE","C","Jarrett Allen",56,16.1,10.8,1.6,0.8,1.3,3.1,1.3,1.7
"11","NOP","PG","Jose Alvarado",54,6.1,1.9,2.8,1.3,0.1,3,0.3,0.7
"12","TOT","SF","Justin Anderson",16,6.4,2.9,2.1,0.5,0.4,3.6,0.3,0.5
"13","CLE","SF","Justin Anderson",3,4.3,2,2,0.3,0,1.4,0.3,0.7
"14","IND","SF","Justin Anderson",13,6.8,3.1,2.1,0.5,0.5,4.2,0.3,0.5
"15","MEM","PF","Kyle Anderson",69,7.6,5.3,2.7,1.1,0.7,3.8,0.5,1
"16","MIL","PF","Giannis Antetokounmpo",67,29.9,11.6,5.8,1.1,1.4,8.3,3.1,3.3
"17","MIL","SF","Thanasis Antetokounmpo",48,3.6,2.1,0.5,0.3,0.3,1.2,0.4,0.5
"18","LAL","PF","Carmelo Anthony",69,13.3,4.2,1,0.7,0.8,5.9,0.4,0.9
"19","ORL","PG","Cole Anthony",65,16.3,5.4,5.7,0.7,0.3,8.5,0.6,2.6
"20","TOR","SF","OG Anunoby",48,17.1,5.5,2.6,1.5,0.5,8.1,0.6,1.7
"21","NYK","PG","Ryan Arcidiacono",10,1.6,0.8,0.4,0.1,0,0.6,0,0.3
"22","LAL","SF","Trevor Ariza",24,4,3.4,1.1,0.5,0.3,2.7,0.4,0.5
"23","TOT","PG","D.J. Augustin",55,5.3,1.2,1.9,0.3,0,2.3,0.1,1
"24","HOU","PG","D.J. Augustin",34,5.4,1.2,2.2,0.3,0,2.4,0.1,1.3
"25","LAL","PG","D.J. Augustin",21,5.3,1.3,1.6,0.3,0,2.2,0,0.5
"26","WAS","SF","Deni Avdija",82,8.4,5.2,2,0.7,0.5,4.1,0.4,1.1
"27","WAS","SG","Joel Ayayi",7,0.3,0.4,0.6,0,0,0.8,0,0
"28","PHO","C","Deandre Ayton",58,17.2,10.2,1.4,0.7,0.7,4.4,0.6,1.6
